P01165	Sus scrofa	Metazoa	207	22
Q5PP12	Arabidopsis thaliana	Viridiplantae	69	25
Q59XX2	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	378	32
Q7Q7R8	Anopheles gambiae	Metazoa	89	29
P31358	Homo sapiens	Metazoa	61	24
O00206	Homo sapiens	Metazoa	839	23
P18892	Bos taurus	Metazoa	526	26
Q589G4	Anoplius samariensis	Metazoa	75	17
Q86Y78	Homo sapiens	Metazoa	171	22
F1NSM7	Gallus gallus	Metazoa	743	18
Q03405	Homo sapiens	Metazoa	335	22
P79208	Ovis aries	Metazoa	603	16
Q9NPG1	Homo sapiens	Metazoa	666	22
D4A540	Rattus norvegicus	Metazoa	148	31
P80060	Locusta migratoria	Metazoa	92	19
Q56S59	Nicotiana tabacum	Viridiplantae	150	23
P81511	Hirudo medicinalis	Metazoa	81	15
Q9R100	Mus musculus	Metazoa	827	25
Q9U943	Locusta migratoria	Metazoa	3380	21
B9A8D7	Crassostrea virginica	Metazoa	85	18
Q13421	Homo sapiens	Metazoa	630	36
P20507	Chlamydomonas reinhardtii	Viridiplantae	377	20
Q9UBN6	Homo sapiens	Metazoa	386	55
P33559	Aspergillus kawachii (strain NBRC 4308)	Fungi	327	25
Q5EPH2	Rhipicephalus bursa	Metazoa	97	22
Q27309	Bombyx mori	Metazoa	1782	15
Q10E50	Oryza sativa subsp. japonica	Viridiplantae	163	43
P24807	Mus musculus	Metazoa	76	26
Q6Z232	Oryza sativa subsp. japonica	Viridiplantae	146	42
C0HKM3	Conus purpurascens	Metazoa	458	18
P69241	Raphanus sativus	Viridiplantae	80	29
P39037	Sus scrofa	Metazoa	232	15
P56202	Homo sapiens	Metazoa	376	21
P28798	Mus musculus	Metazoa	589	17
Q7M418	Oligobrachia mashikoi	Metazoa	163	16
O95157	Homo sapiens	Metazoa	252	22
P51868	Rattus norvegicus	Metazoa	413	19
F7J1C8	Flammulina velutipes	Fungi	249	21
P82103	Mytilus galloprovincialis	Metazoa	96	20
Q8TDQ1	Homo sapiens	Metazoa	290	19
P01579	Homo sapiens	Metazoa	166	23
I6S7G5	Scolopendra mutilans	Metazoa	84	16
Q6UWV2	Homo sapiens	Metazoa	235	31
P27773	Mus musculus	Metazoa	505	24
P0DPZ2	Scolopendra dehaani	Metazoa	101	23
E0D877	Aedes albopictus	Metazoa	564	25
P0C8E8	Rhipicephalus sanguineus	Metazoa	86	20
Q90WJ9	Takifugu pardalis	Metazoa	391	20
Q84ZX5	Artemisia vulgaris	Viridiplantae	132	24
Q12546	Aspergillus ficuum	Fungi	614	22
P42579	Lymnaea stagnalis	Metazoa	100	23
Q95121	Bos taurus	Metazoa	416	20
Q6UWI2	Homo sapiens	Metazoa	310	20
A0A0R4I951	Scolopendra dehaani	Metazoa	70	23
Q6TPK4	Actinidia deliciosa	Viridiplantae	116	26
P84777	Tityus discrepans	Metazoa	61	23
Q6QD51	Rattus norvegicus	Metazoa	949	27
P0C1B3	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	499	21
Q86YD3	Homo sapiens	Metazoa	366	26
Q01151	Homo sapiens	Metazoa	205	19
Q4WZ11	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	87	19
P18709	Xenopus laevis	Metazoa	1807	15
Q94637	Oscheius tipulae	Metazoa	1648	15
P29320	Homo sapiens	Metazoa	983	20
P13598	Homo sapiens	Metazoa	275	24
P50895	Homo sapiens	Metazoa	628	31
P48842	Aspergillus aculeatus	Fungi	350	16
Q9H5V8	Homo sapiens	Metazoa	836	29
Q9VH14	Drosophila melanogaster	Metazoa	210	27
P01070	Glycine max	Viridiplantae	216	24
O35310	Mus musculus	Metazoa	311	20
Q6UXB2	Homo sapiens	Metazoa	119	21
O35701	Mus musculus	Metazoa	481	27
G5EC68	Caenorhabditis elegans	Metazoa	85	17
P27654	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	210	19
O18330	Apis mellifera	Metazoa	432	19
P01269	Sus scrofa	Metazoa	115	25
P15516	Homo sapiens	Metazoa	51	19
O14625	Homo sapiens	Metazoa	94	21
Q00657	Rattus norvegicus	Metazoa	2326	29
Q9HB40	Homo sapiens	Metazoa	452	26
Q6T6C1	Theromyzon tessulatum	Metazoa	107	21
P05090	Homo sapiens	Metazoa	189	20
E0X9F6	Thaumetopoea pityocampa	Metazoa	126	18
A0A0D1DWQ2	Mycosarcoma maydis	Fungi	290	21
Q90W22	Aquarana catesbeiana	Metazoa	114	24
P86872	Margaritifera margaritifera	Metazoa	260	19
O15455	Homo sapiens	Metazoa	904	23
P00651	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	130	26
P13671	Homo sapiens	Metazoa	934	21
Q6UXL0	Homo sapiens	Metazoa	311	29
Q16627	Homo sapiens	Metazoa	93	19
A0A7J6K7I9	Toxoplasma gondii	Other	553	64
O88917	Rattus norvegicus	Metazoa	1515	24
P07602	Homo sapiens	Metazoa	524	16
B0XRV0	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	Fungi	721	18
Q8TD06	Homo sapiens	Metazoa	166	21
Q5B833	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	387	24
P01174	Rattus norvegicus	Metazoa	137	19
Q7TQN3	Mus musculus	Metazoa	571	29
P80022	Solanum lycopersicum	Viridiplantae	230	25
Q96BY9	Homo sapiens	Metazoa	339	30
P0DUT0	Doratifera vulnerans	Metazoa	46	19
P11654	Rattus norvegicus	Metazoa	1886	25
P0DQP8	Cerrophidion godmani	Metazoa	166	19
P22894	Homo sapiens	Metazoa	467	20
Q39688	Daucus carota	Viridiplantae	389	24
P29459	Homo sapiens	Metazoa	219	22
Q8N4F0	Homo sapiens	Metazoa	458	20
Q7ZZN8	Naja atra	Metazoa	238	19
Q05928	Mus musculus	Metazoa	177	31
A0A2I6QB00	Trametes coccinea (strain BRFM310)	Fungi	418	18
P27731	Gallus gallus	Metazoa	150	20
P42256	Aspergillus niger	Fungi	321	19
P81492	Hirudinaria manillensis	Metazoa	84	20
P54803	Homo sapiens	Metazoa	685	42
Q02747	Homo sapiens	Metazoa	115	21
P06205	Limulus polyphemus	Metazoa	242	24
P42292	Gallus gallus	Metazoa	588	33
Q0ZS87	Phlebotomus perniciosus	Metazoa	393	18
P55058	Homo sapiens	Metazoa	493	17
Q20224	Caenorhabditis elegans	Metazoa	161	19
P23631	Latrodectus tredecimguttatus	Metazoa	1401	20
P09791	Trypanosoma brucei brucei	Other	129	27
Q9UNE0	Homo sapiens	Metazoa	448	26
P07359	Homo sapiens	Metazoa	652	16
P10493	Mus musculus	Metazoa	1245	28
P81383	Ophiophagus hannah	Metazoa	491	20
P19137	Mus musculus	Metazoa	3083	24
Q96HF1	Homo sapiens	Metazoa	295	24
Q95NK7	Olivierus martensii	Metazoa	54	23
P21128	Homo sapiens	Metazoa	410	18
Q9BX93	Homo sapiens	Metazoa	195	19
Q75WF2	Acanthaster planci	Metazoa	358	26
P19425	Aedes aegypti	Metazoa	97	19
P27919	Avena sativa	Viridiplantae	214	28
P02783	Rattus norvegicus	Metazoa	112	21
Q6T6C2	Theromyzon tessulatum	Metazoa	97	22
P08514	Homo sapiens	Metazoa	1039	31
P20797	Antheraea polyphemus	Metazoa	163	21
Q18184	Caenorhabditis elegans	Metazoa	89	23
P81702	Ceratocystis fimbriata f. sp. platani	Fungi	134	14
Q23997	Drosophila melanogaster	Metazoa	452	18
P34746	Oreochromis mossambicus	Metazoa	204	17
P67876	Aspergillus restrictus	Fungi	176	27
P01350	Homo sapiens	Metazoa	101	21
P28039	Homo sapiens	Metazoa	575	23
P22388	Rattus norvegicus	Metazoa	202	25
P55083	Homo sapiens	Metazoa	255	21
Q02942	Blaberus discoidalis	Metazoa	726	16
P07727	Rattus norvegicus	Metazoa	457	28
A1X159	Perna viridis	Metazoa	431	20
Q8T1G4	Dictyostelium discoideum	Other	181	19
O02826	Sus scrofa	Metazoa	111	20
P06727	Homo sapiens	Metazoa	396	20
Q6UWI4	Homo sapiens	Metazoa	295	33
P36980	Homo sapiens	Metazoa	270	18
Q01965	Mus musculus	Metazoa	654	47
P55203	Bos taurus	Metazoa	1110	56
O95866	Homo sapiens	Metazoa	241	17
P0DPU7	Scolopendra dehaani	Metazoa	78	25
Q1HAY7	Holotrichia diomphalia	Metazoa	317	23
